"id","created_at","pick_up_time","guid","quoted_delivery_time","company_id","should_hold_at_airlines"
9793,"2019-09-25 18:20:17.041618","2019-09-25 18:20:16.993599","ATJXHN2M9Y","2019-09-26 03:02:08",210,FALSE
9792,"2019-09-25 18:13:22.709739","2019-09-25 18:13:22.662077","ATYXMWWG4J","2019-09-26 03:32:20",210,FALSE
9791,"2019-09-25 18:06:23.005673","2019-09-25 18:06:22.935866","ATH4D4T39T","2019-09-26 04:30:55",365,FALSE
9790,"2019-09-25 16:23:21.724532","2019-09-25 16:23:21.682521","ATHRX34XMG","2019-09-26 04:01:26",377,FALSE
9789,"2019-09-25 16:23:00.929802","2019-09-25 16:23:00.884086","ATXJ93FNDX","2019-09-26 04:01:26",377,FALSE
9788,"2019-09-25 15:49:33.41402","2019-09-25 15:49:32.941321","ATXWFX3YXH","2019-09-25 18:06:09",14,FALSE
9787,"2019-09-25 14:55:55.538465","2019-09-25 14:55:55.493663","ATW6ZXJYET","2019-09-26 04:52:27",211,FALSE
9786,"2019-09-25 14:52:15.070494","2019-09-25 17:51:00","ATJ4XKFNF7","2019-09-25 19:17:00",375,FALSE
9785,"2019-09-25 14:48:51.048639","2019-09-27 15:47:00","ATTDAKJFEP","2019-09-27 16:11:00",375,FALSE
9784,"2019-09-25 14:45:45.555534","2019-09-25 14:45:45.504788","AT92EY3HHT","2019-09-25 17:38:28",375,FALSE
9783,"2019-09-25 14:36:03.721522","2019-09-25 14:36:03.668627","ATJ2W3CHZE","2019-09-26 04:55:06",376,FALSE
9782,"2019-09-25 14:17:52.95914","2019-09-25 14:17:52.854559","AT22K46ZA4","2019-09-26 00:43:39",209,FALSE
9781,"2019-09-25 14:17:17.40848","2019-09-25 14:17:17.340206","AT6FAZHPHY","2019-09-25 23:58:06",366,FALSE
9780,"2019-09-25 13:45:48.315611","2019-09-25 13:45:47.652361","ATFG6W2PFD","2019-09-26 00:44:51",209,FALSE
9779,"2019-09-25 00:22:18.417998","2019-09-25 00:22:00","ATYHHN6PFY","2019-09-25 09:58:40",22,FALSE
9778,"2019-09-25 00:21:29.949415","2019-09-25 00:21:00","ATPAHHFA4D","2019-09-25 09:58:40",22,FALSE
9777,"2019-09-24 21:59:53.087627","2019-09-24 21:59:53.053786","ATGCZX7E96","2019-09-25 12:17:10",377,FALSE
9776,"2019-09-24 20:44:13.623612","2019-09-24 20:44:13.522598","ATKTHJF6RE","2019-09-25 17:23:56",363,FALSE
9775,"2019-09-24 20:25:19.666643","2019-09-24 20:25:19.176391","AT76ZNMZHD","2019-09-25 19:03:45",363,FALSE
9774,"2019-09-24 20:10:17.072048","2019-09-24 20:10:17.032398","ATKW3W9YXR","2019-09-25 04:43:48",210,FALSE
9773,"2019-09-24 19:18:06.556367","2019-09-24 19:18:06.155533","ATWK77ZKN6","2019-09-25 00:27:39",209,FALSE
9772,"2019-09-24 19:10:07.614077","2019-09-24 19:10:07.563309","ATKZWTAK72","2019-09-25 07:19:07",209,FALSE
9771,"2019-09-24 19:09:59.854374","2019-09-24 19:09:59.817155","ATERH6P6Z9","2019-09-25 04:52:15",318,FALSE
9770,"2019-09-24 18:19:57.51217","2019-09-24 18:19:56.925079","ATT4JXMD9K","2019-09-25 03:41:00",163,FALSE
9769,"2019-09-24 16:59:24.126232","2019-09-24 16:59:24.072562","ATGMMXAZCX","2019-09-24 19:58:42",316,FALSE
9768,"2019-09-24 16:39:20.097926","2019-09-24 16:39:00","AT96NYZR9Y","2019-09-26 17:42:18",22,FALSE
9767,"2019-09-24 15:08:59.244887","2019-09-24 15:08:59.20535","ATT4DW72P7","2019-09-25 01:34:15",208,FALSE
9766,"2019-09-24 15:01:41.161967","2019-09-24 15:01:41.111684","AT7CFJZFWK","2019-09-25 06:51:40",211,FALSE
9765,"2019-09-24 14:49:51.46114","2019-09-24 14:49:51.413069","AT3ATZJWPP","2019-09-24 17:18:32",224,FALSE
9764,"2019-09-24 14:43:42.4477","2019-09-24 14:43:42.411105","AT9AJN4ZC7","2019-09-25 01:26:12",208,FALSE
9763,"2019-09-24 14:02:24.748436","2019-09-24 14:02:24.686829","ATXTPA73Y2","2019-09-25 05:18:51",211,FALSE
9762,"2019-09-24 12:00:06.105906","2019-09-24 12:00:06.018448","AT9MX9KAMR","2019-09-24 14:16:21",224,FALSE
9761,"2019-09-24 11:44:07.661362","2019-09-24 11:44:07.27534","ATDKAN9MMJ","2019-09-24 14:08:43",224,FALSE
9760,"2019-09-23 23:37:39.575163","2019-09-23 23:37:39.543128","ATH92T24CZ","2019-09-24 11:53:14",377,FALSE
9759,"2019-09-23 21:53:25.790297","2019-09-23 21:53:25.756194","ATJDJXTXKD","2019-09-24 11:53:14",377,FALSE
9758,"2019-09-23 21:36:46.309294","2019-09-23 21:36:46.276276","AT6A7FTHTZ","2019-09-24 11:53:14",377,FALSE
9757,"2019-09-23 20:16:14.469079","2019-09-23 20:16:14.431459","ATR2F7FDM3","2019-09-24 07:49:22",22,FALSE
9756,"2019-09-23 14:47:28.567343","2019-09-23 14:47:28.520399","ATCNTARCNE","2019-09-23 20:27:30",211,FALSE
9755,"2019-09-23 14:46:38.470377","2019-09-23 14:46:38.424509","ATM2WEGKFT","2019-09-23 20:22:30",211,FALSE
9754,"2019-09-23 14:45:41.403125","2019-09-23 14:45:41.350774","ATJCWP7FEP","2019-09-23 19:41:30",211,FALSE
9753,"2019-09-23 14:39:29.140035","2019-09-23 14:39:29.090802","AT4HRTYPEX","2019-09-24 05:53:54",211,FALSE
9752,"2019-09-23 14:38:17.112702","2019-09-23 14:38:17.034363","ATTER27HNE","2019-09-23 19:30:21",211,FALSE
9751,"2019-09-23 13:36:18.476896","2019-09-23 13:36:18.44305","ATNN2GGDDH","2019-09-24 05:11:22",231,FALSE
9750,"2019-09-23 12:06:55.241717","2019-09-23 12:06:55.191508","ATG4DE4T2R","2019-09-23 14:12:57",231,FALSE
9749,"2019-09-20 22:03:54.803261","2019-09-20 22:03:54.758694","ATX493FFYM","2019-09-21 15:03:43",41,FALSE
9747,"2019-09-20 20:50:23.516052","2019-09-20 20:50:23.482885","ATMRKNJHGH","2019-09-21 05:29:04",211,FALSE
9746,"2019-09-20 20:49:20.76815","2019-09-20 20:49:20.724974","ATA4T94YY4","2019-09-21 13:22:07",211,FALSE
9745,"2019-09-20 20:27:21.755997","2019-09-20 20:27:21.713837","ATCHYC7ZZ9","2019-09-20 22:43:57",376,FALSE
9744,"2019-09-20 20:18:27.539652","2019-09-20 20:18:27.500773","ATZMDE9J74","2019-09-20 22:34:15",376,FALSE
